transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,taux_interet
TXN001448,CLI0141,2023-12-07 13:40:03,99999.99,EUR,1.0,264.77,Remboursement credit,Compte Courant,Lille-Grand-Place,Credit,Complete,726.0,Premium,40456.23,
TXN001458,CLI0137,2023-02-04 06:12:00,-237.86,EUR,1.0,-237.86,Paiement CB,Credit Immobilier, Marseille-Vieux-Port ,Debit,Rejete,725.0,Premium,15778.59,
TXN001369,CLI0026,2022-03-25 09:58:00,-2639.99,USD,1.08,-2444.44,Remboursement credit,PEA,Lille-Grand-Place,Debit,Complete,699.0,Standard,2697.47,
TXN001394,CLI0041,2023-01-03 06:52:00,-120.35,USD,1.08,-111.44,Retrait DAB,Credit Auto,Bordeaux-Meriadeck,Debit,Complete,643.0,Standard,22528.4,
TXN001278,CLI0122,14/05/2024 02:04,307.37,EUR,1.0,307.37,Virement,PEA,Nantes-Commerce,Credit,Complete,824.0,PREMIUM,25404.97,
TXN000663,CLI0020,2024-06-30 21:07:00,1091.33,CHF,0.97,1125.08,Virement,PEA,Bordeaux-Meriadeck,Credit,Complete,660.0,Standard,41973.38,
TXN001869,CLI0029,2022-05-21 15:53:00,-68.55,EUR,1.0,-68.55,Depot especes,Credit Consommation,Paris-Centre,Debit,Complete,696.0,Standard,49164.19,
TXN001810,CLI0097,2022-09-16 03:20:00,2734.98,USD,1.08,2532.39,Depot especes,Compte Epargne,Lille-Grand-Place,Credit,Complete,397.0,Risque,6932.66,
TXN000888,CLI0121,2024-04-30 23:19:00,"860,29",GBP,0.86,1000.34,Prelevement,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,,Premium,38753.21,
TXN001557,CLI0022,2024-10-20 21:52:00,1791.77,EUR,1.0,1791.77,Depot especes,Compte Epargne,Toulouse-Capitole,Credit,Complete,787.0,,25283.87,
TXN000334,CLI0020,2023-04-02 16:25:00,189.39,EUR,1.0,189.39,Paiement CB,Credit Auto,Bordeaux-Meriadeck,Credit,Complete,660.0,Standard,44369.88,
TXN001842,CLI0131,2023-03-05 11:15:00,-2405.51,EUR,1.0,-2405.51,Remboursement credit,Compte Courant,Marseille-Vieux-Port,Debit,Complete,838.0,Premium,27273.18,
TXN001160,CLI0146,2022-02-26 22:38:00,255.59,CHF,0.97,263.49,Paiement CB,Credit Immobilier,Toulouse-Capitole,Credit,Rejete,583.0,Standard,10838.69,
TXN001311,CLI0046,2024-01-26 23:11:00,500.52,USD,1.08,463.44,Prelevement,Credit Consommation,Bordeaux-Meriadeck,Credit,Complete,841.0,Premium,16341.35,
TXN000947,CLI0036,2024-01-24 11:12:00,1062.22,EUR,1.0,1062.22,Prelevement,Credit Consommation,Marseille-Vieux-Port,Credit,Complete,572.0,Risque,29472.01,
TXN000053,CLI0106,2024-03-27 13:46:00,-941.67,GBP,0.86,-1094.97,Virement international,Assurance Vie,Nantes-Commerce,Debit,Complete,652.0,Standard,7716.68,
TXN001762,CLI0065,2023-10-14 23:56:00,-7199.72,EUR,1.0,-7199.72,Virement international,Livret A,Bordeaux-Meriadeck,Debit,Complete,,Standard,7191.04,
TXN000837,CLI0096,2022-08-11 03:04:00,1119.97,EUR,1.0,1119.97,Remboursement credit,PEA,Lyon-Part-Dieu,Credit,Complete,710.0,Standard,14182.13,
TXN001817,CLI0036,2022-08-25 16:20:00,4016.18,EUR,1.0,4016.18,Virement international,Credit Auto,Marseille-Vieux-Port,Credit,Complete,572.0,Risque,16865.81,
TXN000464,CLI0028,2022-05-06 02:13:00,2460.25,EUR,1.0,2460.25,Remboursement credit,Compte Courant,Lyon-Part-Dieu,Credit,Complete,667.0,Standard,33077.98,
TXN000917,CLI0045,2023-10-23 18:08:00,-2065.8,USD,1.08,-1912.78,Remboursement credit,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,704.0,Standard,10056.21,
TXN001905,CLI0028,2024-09-16 09:09:00,-80.27,EUR,1.0,-80.27,Paiement CB,Assurance Vie,Lyon-Part-Dieu,Debit,Complete,667.0,Standard,15449.22,
TXN000219,CLI0061,2022-05-03 04:45:00,-875.48,EUR,1.0,-875.48,Remboursement credit,Credit Consommation,Marseille-Vieux-Port,Debit,En attente,341.0,Risque,26035.99,
TXN001196,CLI0050,2024-04-16 11:41:00,-2593.81,CHF,0.97,-2674.03,Virement international,Credit Auto,Lyon-Part-Dieu,Debit,Complete,666.0,Standard,32646.65,
TXN001542,CLI0113,2024-03-17 13:52:00,-91.48,GBP,0.86,-106.37,Paiement CB,Livret A,Lyon-Part-Dieu,Debit,Complete,643.0,Standard,41551.58,
TXN000147,CLI0035,2023-02-21 10:41:00,-283.26,EUR,1.0,-283.26,Remboursement credit,PEA,Lyon-Part-Dieu,Debit,Complete,600.0,Standard,36256.78,
TXN000320,CLI0113,2022-03-05 15:10:00,-1623.73,EUR,1.0,-1623.73,Remboursement credit,Compte Epargne,Lyon-Part-Dieu,Debit,Complete,643.0,Standard,42488.43,
TXN000133,CLI0076,2023-03-25 04:30:00,1394.85,EUR,1.0,1394.85,Virement international,PEA,Lyon-Part-Dieu,Credit,Complete,326.0,Risque,27506.8,
TXN001939,CLI0048,2024-07-07 13:27:00,-140.32,MAD,10.85,-12.93,Paiement CB,Compte Epargne,Toulouse-Capitole,Debit,Complete,670.0,Standard,7276.46,
TXN000685,CLI0142,2022-02-14 05:53:00,-145.66,EUR,1.0,-145.66,Retrait DAB,Credit Immobilier,Toulouse-Capitole,Debit,Complete,676.0,Standard,39391.96,
TXN001752,CLI0045,2023-03-08 01:05:00,"-471,95",EUR,1.0,-471.95,Paiement CB,Credit Consommation,Bordeaux-Meriadeck,Debit,Complete,704.0,Standard,27850.82,
TXN001247,CLI0067,2023-08-08 14:01:00,1364.35,EUR,1.0,1364.35,Remboursement credit,Compte Epargne,Paris-Centre,Credit,Complete,337.0,Risque,5723.41,
TXN001403,CLI0057,24/06/2024 02:27,-2176.71,EUR,1.0,-2176.71,Prelevement,PEA,Nice-Massena,Debit,Complete,,Risque,34098.81,
TXN000679,CLI0112,2022-10-26 04:30:00,-2607.66,EUR,1.0,-2607.66,Virement international,PEA,Marseille-Vieux-Port,Debit,Rejete,636.0,STANDARD,25932.26,
TXN000212,CLI0020,2024-01-08 01:31:00,-2585.11,EUR,1.0,-2585.11,Interets,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,660.0,Standard,5234.96,
TXN000383,CLI0140,2023-05-28 12:53:00,87.22,EUR,1.0,87.22,Interets,Credit Consommation,Marseille-Vieux-Port,Credit,Complete,609.0,Standard,48751.11,
TXN001981,CLI0082,2024-03-13 05:35:00,-1440.39,EUR,1.0,-1440.39,Virement international,PEA,Paris-Centre,Debit,Complete,813.0,Premium,5403.85,
TXN001527,CLI0090,16/05/2022 23:47,1982.71,GBP,0.86,2305.48,Remboursement credit,Credit Consommation,Nantes-Commerce,Credit,Complete,682.0,Standard,28486.62,
TXN000010,CLI0078,2022-08-31 17:48:00,1277.71,MAD,10.85,117.76,Prelevement,Credit Consommation,Marseille-Vieux-Port,Credit,Complete,647.0,Standard,19080.86,
TXN001971,CLI0037,2024-05-21 03:28:00,-2435.52,CHF,0.97,-2510.85,Virement,Compte Courant,Lille-Grand-Place,Debit,Complete,622.0,Standard,8001.13,
TXN001461,CLI0082,2023-12-08 12:07:00,-611.64,EUR,1.0,-611.64,Depot especes,Assurance Vie,Paris-Centre,Debit,Complete,813.0,Premium,29668.5,
TXN001048,CLI0030,2024-08-27 22:21:00,2540.3,EUR,1.0,2540.3,Interets,Livret A,Lyon-Part-Dieu,Credit,Complete,391.0,Risque,49038.65,
TXN000027,CLI0129,2024-06-20 03:33:00,-7301.45,GBP,0.86,-8490.06,Virement international,Credit Immobilier,Paris-Centre,Debit,Complete,573.0,Risque,32773.59,
TXN001732,CLI0144,2023-12-16 09:26:00,-5328.18,EUR,1.0,-5328.18,Virement international,PEA,Paris-Centre,Debit,Complete,361.0,Risque,43745.48,
TXN000003,CLI0049,2024-04-12 15:35:00,2286.59,EUR,1.0,2286.59,Prelevement,Credit Auto, Lyon-Part-Dieu ,Credit,Complete,593.0,Standard,960.44,
TXN000469,CLI0033,2022-02-02 04:46:00,2660.42,EUR,1.0,2660.42,Depot especes,Credit Immobilier,Lyon-Part-Dieu,Credit,Complete,584.0,Standard,32147.92,
TXN001641,CLI0026,2024-03-05 03:38:00,-2959.53,USD,1.08,-2740.31,Interets,PEA,Lille-Grand-Place,Debit,Complete,699.0,Standard,35237.56,
TXN000293,CLI0118,2024-07-06 02:54:00,-1520.45,GBP,0.86,-1767.97,Interets,Credit Auto,Lille-Grand-Place,Debit,Complete,641.0,Standard,986.68,
TXN000192,CLI0106,2022-09-17 22:55:03,-441.44,MAD,10.85,-40.69,Virement,PEA,Nantes-Commerce,Debit,Complete,652.0,Standard,38097.53,
TXN000434,CLI0115,2022-08-29 04:12:00,21.7,EUR,1.0,21.7,Paiement CB,Compte Courant,Toulouse-Capitole,Credit,Complete,709.0,Standard,42785.01,
TXN001885,CLI0100,21/11/2023 09:34,2967.53,EUR,1.0,2967.53,Virement,Compte Epargne,Lille-Grand-Place,Credit,Complete,656.0,Standard,12974.86,
TXN000918,CLI0079,2024-08-02 17:11:00,1159.1,EUR,1.0,1159.1,Prelevement,Compte Epargne,Paris-Centre,Credit,Complete,689.0,Standard,26375.91,
TXN000087,CLI0100,2022-02-03 11:50:00,-726.96,EUR,1.0,-726.96,Virement international,Livret A,Lille-Grand-Place,Debit,Complete,656.0,STANDARD,36785.83,
TXN000310,CLI0040,2023-10-23 19:03:00,2332.3,EUR,1.0,2332.3,Virement,Assurance Vie,Nice-Massena,Credit,Complete,491.0,Risque,28676.58,
TXN001126,CLI0124,2023-01-20 20:55:00,2460.12,GBP,0.86,2860.6,Interets,Credit Auto,Toulouse-Capitole,Credit,Rejete,585.0,Standard,22714.36,
TXN000694,CLI0046,2022-06-05 11:57:00,293.13,EUR,1.0,293.13,Interets,Livret A, Bordeaux-Meriadeck ,Credit,Complete,,Premium,46337.64,
TXN001168,CLI0047,2022-07-18 21:58:00,-94.24,MAD,10.85,-8.69,Retrait DAB,Credit Immobilier,Lyon-Part-Dieu,Debit,En attente,397.0,Risque,35347.74,
TXN000361,CLI0131,2022-09-20 01:33:00,"-403,65",EUR,1.0,-403.65,Paiement CB,Compte Courant,Marseille-Vieux-Port,Debit,Complete,838.0,Premium,19746.47,
TXN001729,CLI0070,2024-08-09 14:05:00,374.23,EUR,1.0,374.23,Remboursement credit,PEA,Nantes-Commerce,Credit,Complete,,Risque,34827.68,
TXN001928,CLI0028,2022-06-02 00:20:00,-2581.55,EUR,1.0,-2581.55,Remboursement credit,Livret A,,Debit,Complete,667.0,Standard,3656.29,
TXN000524,CLI0006,2022-02-15 07:53:00,474.78,EUR,1.0,474.78,Paiement CB,Compte Epargne,Toulouse-Capitole,Credit,Complete,620.0,Standard,32822.45,
TXN000112,CLI0111,2024-01-20 12:23:00,-183.47,CHF,0.97,-189.14,Depot especes,Credit Consommation,Paris-Centre,Debit,Complete,,Standard,14501.22,
TXN001381,CLI0122,2023-12-14 09:41:00,-711.73,EUR,1.0,-711.73,Prelevement,Assurance Vie,Nantes-Commerce,Debit,Complete,824.0,Premium,48179.06,
TXN000619,CLI0111,2023-08-19 01:31:00,-88888.0,GBP,0.86,-1429.14,Remboursement credit,Credit Auto,Paris-Centre,Debit,Complete,617.0,Standard,3129.16,
TXN001652,CLI0113,2023-05-10 15:32:00,837.81,EUR,1.0,837.81,Interets,Credit Consommation,Lyon-Part-Dieu,Credit,Complete,643.0,Standard,28556.77,
TXN000775,CLI0053,2023-07-06 20:44:00,1954.44,EUR,1.0,1954.44,Prelevement,Credit Immobilier,Paris-Centre,Credit,Complete,,Standard,7759.22,
TXN000317,CLI0040,2023-11-11 01:05:00,-266.08,EUR,1.0,-266.08,Virement,Assurance Vie, Nice-Massena ,Debit,Complete,491.0,Risque,28790.62,
TXN001770,CLI0041,2022-08-28 02:20:00,2775.98,EUR,1.0,2775.98,Depot especes,Compte Epargne,Bordeaux-Meriadeck,Credit,Complete,643.0,Standard,7666.57,
TXN000765,CLI0104,2023-05-09 12:31:00,165.29,EUR,1.0,165.29,Retrait DAB,Credit Immobilier,Nantes-Commerce,Credit,Complete,,Standard,18831.04,
TXN000687,CLI0112,2022-09-25 06:12:00,1621.04,EUR,1.0,1621.04,Prelevement,PEA,Marseille-Vieux-Port,Credit,Complete,636.0,Standard,48851.38,
TXN001399,CLI0006,2024-02-09 17:29:00,465.08,EUR,1.0,465.08,Retrait DAB,Livret A,Toulouse-Capitole,Credit,Complete,620.0,Standard,6426.27,
TXN000233,CLI0045,2023-10-14 23:44:00,1108.41,EUR,1.0,1108.41,Depot especes,PEA,Bordeaux-Meriadeck,Credit,En attente,704.0,,28223.96,
TXN000836,CLI0015,2022-06-08 22:29:00,249.16,EUR,1.0,249.16,Retrait DAB,Compte Epargne,Lyon-Part-Dieu,Credit,Complete,648.0,Standard,8324.74,
TXN001595,CLI0100,2023-06-07 10:45:00,"-324,96",GBP,0.86,-377.86,Retrait DAB,Credit Consommation,Lille-Grand-Place,Debit,Complete,656.0,Standard,27311.4,
TXN000262,CLI0055,2023-02-28 08:41:00,-216.56,EUR,1.0,-216.56,Retrait DAB,Compte Courant,Bordeaux-Meriadeck,Debit,Complete,703.0,Standard,6702.47,
TXN001715,CLI0131,2023-04-15 18:53:00,365.65,USD,1.08,338.56,Paiement CB,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,838.0,Premium,36551.83,
TXN000820,CLI0140,2022-04-02 03:34:00,-925.38,EUR,1.0,-925.38,Prelevement,Compte Epargne,Marseille-Vieux-Port,Debit,Complete,609.0,Standard,45617.13,
TXN000357,CLI0088,2023-01-01 15:20:00,1092.94,EUR,1.0,1092.94,Prelevement,Assurance Vie,Bordeaux-Meriadeck,Credit,Complete,413.0,,37333.2,
TXN001969,CLI0115,2022-07-20 18:08:00,-1610.33,EUR,1.0,-1610.33,Virement international,Credit Consommation,Toulouse-Capitole,Debit,Complete,709.0,Standard,18681.61,
TXN001617,CLI0061,2022-06-28 04:27:00,2649.48,EUR,1.0,2649.48,Depot especes,PEA,Marseille-Vieux-Port,Credit,Complete,341.0,Risque,48173.27,
TXN000757,CLI0057,2022-10-29 19:18:00,480.32,USD,1.08,444.74,Interets,Compte Courant,Nice-Massena,Credit,Complete,435.0,Risque,15513.68,
TXN000017,CLI0069,2022-12-25 15:33:00,1971.95,USD,1.08,1825.88,Virement,Credit Immobilier,Marseille-Vieux-Port,Credit,Rejete,647.0,STANDARD,21850.66,
TXN001477,CLI0148,2022-11-12 04:20:00,-1572.54,EUR,1.0,-1572.54,Remboursement credit,Compte Courant,Lille-Grand-Place,Debit,Complete,713.0,Standard,26653.82,
TXN001313,CLI0034,2024-01-23 18:50:03,-154.05,GBP,0.86,-179.13,Retrait DAB,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,457.0,Risque,35700.14,
TXN001872,CLI0122,2022-02-16 06:43:00,588.76,EUR,1.0,588.76,Depot especes,PEA,Nantes-Commerce,Credit,Complete,824.0,Premium,11310.0,
TXN001244,CLI0127,2024-04-29 17:04:00,168.38,USD,1.08,155.91,Virement,Credit Consommation,Nice-Massena,Credit,Complete,,Standard,24624.11,
TXN001739,CLI0098,2023-04-03 18:03:00,-2477.73,EUR,1.0,-2477.73,Prelevement,PEA,Bordeaux-Meriadeck,Debit,Complete,580.0,Standard,38961.38,
TXN001347,CLI0003,2024-02-03 10:00:00,1015.86,USD,1.08,940.61,Virement international,Credit Consommation, Lyon-Part-Dieu ,Credit,Complete,587.0,Standard,16692.64,
TXN000583,CLI0137,2024-03-06 00:58:00,481.16,GBP,0.86,559.49,Retrait DAB,Assurance Vie,Marseille-Vieux-Port,Credit,Complete,725.0,Premium,46822.49,
TXN001632,CLI0055,2023-06-11 08:30:00,99999.99,EUR,1.0,-2309.67,Remboursement credit,Livret A,Bordeaux-Meriadeck,Debit,Rejete,703.0,Standard,39672.27,
TXN001509,CLI0141,2022-12-08 10:41:00,1122.89,EUR,1.0,1122.89,Depot especes,Credit Consommation,Lille-Grand-Place,Credit,Complete,726.0,Premium,46990.84,
TXN000116,CLI0077,2024-11-09 17:31:00,-5728.17,EUR,1.0,-5728.17,Virement international,Compte Courant,Paris-Centre,Debit,Complete,322.0,Risque,33722.94,
TXN000960,CLI0092,2023-03-23 13:03:00,-1759.73,EUR,1.0,-1759.73,Interets,PEA,Nantes-Commerce,Debit,Rejete,717.0,Standard,22077.93,
TXN001344,CLI0065,2024-10-16 14:42:03,2901.33,EUR,1.0,2901.33,Remboursement credit,PEA,Bordeaux-Meriadeck,Credit,Complete,660.0,Standard,40807.48,
TXN000797,CLI0072,2023-05-22 21:52:00,-1316.02,GBP,0.86,-1530.26,Prelevement,Livret A,Marseille-Vieux-Port,Debit,Complete,606.0,Standard,25166.46,
TXN000712,CLI0012,03/08/2024 12:21,2250.57,EUR,1.0,2250.57,Interets,Compte Epargne,Lille-Grand-Place,Credit,Complete,778.0,Premium,12605.23,
TXN001868,CLI0048,2023-06-04 10:55:00,2770.05,EUR,1.0,2770.05,Prelevement,Compte Epargne, Toulouse-Capitole ,Credit,Complete,670.0,,49939.8,
TXN001441,CLI0117,2023-08-29 04:34:00,2361.42,CHF,0.97,2434.45,Prelevement,Credit Consommation,Lille-Grand-Place,Credit,Complete,,STANDARD,28310.46,
TXN000856,CLI0112,2024-03-07 00:35:00,6307.96,CHF,0.97,6503.05,Virement international,Livret A,Marseille-Vieux-Port,Credit,Complete,636.0,Standard,28966.62,
TXN000938,CLI0019,2024-12-17 15:12:00,6692.74,EUR,1.0,6692.74,Virement international,Credit Auto,Lille-Grand-Place,Credit,Complete,505.0,Risque,17888.61,
TXN001802,CLI0016,2023-01-02 08:34:00,-2509.01,GBP,0.86,-2917.45,Virement,Livret A, Bordeaux-Meriadeck ,Debit,Complete,716.0,Standard,127.18,
TXN000857,CLI0038,2023-10-11 00:09:00,7192.71,USD,1.08,6659.92,Virement international,Credit Auto,Bordeaux-Meriadeck,Credit,Complete,516.0,Risque,5768.98,
TXN000606,CLI0141,2023-06-07 05:15:00,2896.9,EUR,1.0,2896.9,Remboursement credit,Livret A,Lille-Grand-Place,Credit,Complete,726.0,Premium,10490.31,
TXN000714,CLI0121,2022-12-16 00:38:00,-68.25,GBP,0.86,-79.36,Paiement CB,Compte Epargne,Marseille-Vieux-Port,Debit,Complete,818.0,Premium,33602.47,
TXN001606,CLI0099,2022-08-23 01:58:00,137.91,EUR,1.0,137.91,Interets,Credit Auto,Nantes-Commerce,Credit,Complete,664.0,Standard,6172.97,
TXN000137,CLI0006,2022-01-07 23:13:00,-1756.02,EUR,1.0,-1756.02,Remboursement credit,PEA, Toulouse-Capitole ,Debit,Complete,620.0,Standard,27104.06,
TXN001326,CLI0107,2023-06-07 06:00:00,-2973.53,EUR,1.0,-2973.53,Depot especes,Compte Courant,Lille-Grand-Place,Debit,Complete,420.0,Risque,24184.96,
TXN000871,CLI0008,2022-02-21 23:46:00,-435.12,EUR,1.0,-435.12,Prelevement,PEA,Nantes-Commerce,Debit,Complete,744.0,Premium,32660.88,
TXN000800,CLI0016,2023-09-16 03:17:00,1122.55,EUR,1.0,1122.55,Remboursement credit,Compte Epargne,Bordeaux-Meriadeck,Credit,Complete,716.0,Standard,44765.8,
TXN001044,CLI0020,2023-01-20 01:13:00,-164.93,EUR,1.0,-164.93,Retrait DAB,Compte Epargne,Bordeaux-Meriadeck,Debit,Complete,660.0,Standard,21342.99,
TXN001930,CLI0085,05/07/2022 02:00,176.41,EUR,1.0,176.41,Retrait DAB,Assurance Vie,Toulouse-Capitole,Credit,En attente,390.0,Risque,21088.49,
TXN000879,CLI0120,2024-03-30 06:16:00,560.23,EUR,1.0,560.23,Interets,Assurance Vie,Lyon-Part-Dieu,Credit,Rejete,718.0,Standard,5234.44,
TXN000768,CLI0112,2022-07-23 10:04:00,362.61,EUR,1.0,362.61,Paiement CB,Credit Immobilier,Marseille-Vieux-Port,Credit,Complete,636.0,STANDARD,35067.02,
TXN001579,CLI0084,2022-01-30 09:20:00,-1299.59,EUR,1.0,-1299.59,Remboursement credit,Credit Auto,,Debit,Complete,684.0,Standard,44633.93,
TXN000393,CLI0018,2022-09-23 05:55:00,-142.26,GBP,0.86,-165.42,Virement,Credit Consommation,Bordeaux-Meriadeck,Debit,Complete,328.0,Risque,28593.51,
TXN000016,CLI0111,2022-02-22 02:14:00,7702.91,EUR,1.0,7702.91,Virement international,Compte Courant,Paris-Centre,Credit,Rejete,617.0,Standard,33646.85,
TXN001065,CLI0082,2024-04-07 15:48:00,1418.55,EUR,1.0,1418.55,Remboursement credit,Credit Auto,Paris-Centre,Credit,Complete,813.0,Premium,43679.76,
TXN001332,CLI0124,2022-04-27 13:25:00,-2454.43,USD,1.08,-2272.62,Prelevement,Credit Auto,Toulouse-Capitole,Debit,Rejete,585.0,Standard,16755.91 EUR,
TXN000565,CLI0098,2024-01-02 13:22:00,-216.53,EUR,1.0,-216.53,Prelevement,Credit Consommation,Bordeaux-Meriadeck,Debit,Complete,580.0,Standard,29667.33,
TXN001533,CLI0002,2023-08-08 01:15:00,-48.15,USD,1.08,-44.58,Retrait DAB,PEA,Lyon-Part-Dieu,Debit,En attente,606.0,Standard,20336.45,
TXN000203,CLI0026,2024-02-26 11:27:00,-977.79,USD,1.08,-905.36,Depot especes,Assurance Vie,Lille-Grand-Place,Debit,Complete,699.0,Standard,12483.53,
TXN001357,CLI0070,2024-07-13 10:07:00,1526.37,EUR,1.0,1526.37,Depot especes,Credit Auto,Nantes-Commerce,Credit,Complete,425.0,Risque,24113.97,
TXN000799,CLI0052,2024-02-18 13:33:00,954.02,GBP,0.86,1109.33,Prelevement,Credit Consommation,Bordeaux-Meriadeck,Credit,Complete,838.0,Premium,21361.19,
TXN000045,CLI0095,2023-07-20 06:07:00,7602.28,EUR,1.0,7602.28,Virement international,Livret A,Nantes-Commerce,Credit,Complete,668.0,Standard,32121.05,
TXN000314,CLI0083,2022-08-21 12:16:00,-1643.7,CHF,0.97,-1694.54,Remboursement credit,PEA,Lyon-Part-Dieu,Debit,Complete,643.0,Standard,25485.91,
TXN001469,CLI0004,2024-02-10 17:09:03,857.95,USD,1.08,794.4,Virement international,Credit Immobilier,Bordeaux-Meriadeck,Credit,Complete,,,17530.26,
TXN000981,CLI0050,2022-02-22 11:13:00,881.42,EUR,1.0,881.42,Virement,Compte Epargne,Lyon-Part-Dieu,Credit,Complete,666.0,Standard,26092.61,
TXN000672,CLI0008,2022-02-19 18:51:00,-1897.58,EUR,1.0,-1897.58,Interets,Assurance Vie,Nantes-Commerce,Debit,Complete,,Premium,23731.47,
TXN001535,CLI0045,2022-08-06 04:53:00,-408.84,EUR,1.0,-408.84,Retrait DAB,Compte Courant,Bordeaux-Meriadeck,Debit,Complete,704.0,Standard,27791.58,
TXN000790,CLI0048,2022-07-27 13:31:00,-632.76,EUR,1.0,-632.76,Remboursement credit,Credit Immobilier,Toulouse-Capitole,Debit,Complete,670.0,Standard,45664.14,
TXN001288,CLI0084,2024-08-20 16:31:00,205.33,GBP,0.86,238.76,Paiement CB,Credit Immobilier,Marseille-Vieux-Port,Credit,Complete,684.0,Standard,4640.29,
TXN001492,CLI0093,2024-11-19 16:35:00,-2576.54,EUR,1.0,-2576.54,Depot especes,Credit Immobilier,Marseille-Vieux-Port,Debit,En attente,786.0,Premium,46765.18,
TXN001982,CLI0047,2024-04-10 05:48:00,-7086.8,USD,1.08,-6561.85,Virement international,Credit Immobilier,Lyon-Part-Dieu,Debit,Complete,397.0,Risque,9516.28,
